Date,s2_pm2_5
2019-03-12 09:00:00,19.975
2019-03-12 11:00:00,15.408571428571424
2019-03-12 12:00:00,14.654347826086957
2019-03-12 13:00:00,14.365434782608695
2019-03-12 14:00:00,15.451739130434785
2019-03-12 15:00:00,41.986444444444444
2019-03-12 16:00:00,44.66911111111111
2019-03-12 17:00:00,46.708043478260876
2019-03-12 18:00:00,52.77155555555555
2019-03-12 19:00:00,46.81021739130435
2019-03-12 20:00:00,43.99
2019-03-12 21:00:00,37.11866666666667
2019-03-12 22:00:00,46.23391304347825
2019-03-12 23:00:00,54.32511111111111
2019-03-13 00:00:00,42.087111111111106
2019-03-13 01:00:00,52.9341304347826
2019-03-13 02:00:00,54.05866666666668
2019-03-13 03:00:00,17.53326086956522
2019-03-13 04:00:00,18.59869565217392
2019-03-13 05:00:00,23.328888888888887
2019-03-13 06:00:00,20.7595652173913
2019-03-13 07:00:00,14.887555555555553
2019-03-13 08:00:00,15.300869565217392
2019-03-13 09:00:00,14.670444444444444
2019-03-13 10:00:00,13.232826086956525
2019-03-13 11:00:00,12.559069767441857
2019-03-13 12:00:00,11.767021276595747
2019-03-13 13:00:00,11.948936170212768
2019-03-13 14:00:00,13.659361702127658
2019-03-13 15:00:00,23.28891304347826
2019-03-13 16:00:00,34.1172340425532
2019-03-13 17:00:00,41.3208695652174
2019-03-13 18:00:00,30.22744680851064
2019-03-13 19:00:00,36.01891304347826
2019-03-13 20:00:00,43.44318181818181
2019-03-13 21:00:00,30.283260869565225
2019-03-13 22:00:00,35.82617021276596
2019-03-13 23:00:00,28.191086956521744
2019-03-14 00:00:00,24.286595744680852
2019-03-14 01:00:00,35.5045652173913
2019-03-14 02:00:00,38.58851063829787
2019-03-14 03:00:00,41.30086956521738
2019-03-14 04:00:00,50.838936170212754
2019-03-14 05:00:00,51.42999999999999
2019-03-14 06:00:00,30.823913043478264
2019-03-14 07:00:00,27.529361702127655
2019-03-14 08:00:00,19.740425531914887
2019-03-14 09:00:00,20.838888888888896
2019-03-14 10:00:00,24.363777777777777
2019-03-14 11:00:00,20.204565217391302
2019-03-14 12:00:00,15.168913043478263
2019-03-14 13:00:00,11.779782608695653
2019-03-14 14:00:00,12.644666666666666
2019-03-14 15:00:00,21.35304347826087
2019-03-14 16:00:00,32.42260869565217
2019-03-14 17:00:00,40.52066666666667
2019-03-14 18:00:00,39.295555555555545
2019-03-14 19:00:00,36.58695652173913
2019-03-14 20:00:00,29.495869565217394
2019-03-14 21:00:00,29.118888888888886
2019-03-14 22:00:00,32.77608695652175
2019-03-14 23:00:00,33.99688888888889
2019-03-15 00:00:00,39.013478260869576
2019-03-15 01:00:00,41.32133333333333
2019-03-15 02:00:00,41.820666666666675
2019-03-15 03:00:00,19.975869565217398
2019-03-15 04:00:00,17.765869565217383
2019-03-15 05:00:00,10.007608695652173
2019-03-15 06:00:00,11.771956521739128
2019-03-15 07:00:00,10.35739130434783
2019-03-15 08:00:00,14.656222222222222
2019-03-15 09:00:00,20.289565217391306
2019-03-15 10:00:00,18.378478260869564
2019-03-15 11:00:00,14.222391304347827
2019-03-15 12:00:00,15.902391304347823
2019-03-15 13:00:00,16.763333333333335
2019-03-15 14:00:00,23.132608695652177
2019-03-15 15:00:00,32.29369565217391
2019-03-15 16:00:00,35.663333333333334
2019-03-15 17:00:00,38.06130434782609
2019-03-15 18:00:00,37.13444444444443
2019-03-15 19:00:00,29.430217391304346
2019-03-15 20:00:00,29.576666666666657
2019-03-15 21:00:00,35.71782608695652
2019-03-15 22:00:00,42.17711111111111
2019-03-15 23:00:00,44.25543478260869
2019-03-16 00:00:00,39.6011111111111
2019-03-16 01:00:00,34.87705882352942
2019-03-16 02:00:00,36.653260869565216
2019-03-16 03:00:00,54.67733333333332
2019-03-16 04:00:00,75.9151111111111
2019-03-16 05:00:00,104.04065217391302
2019-03-16 06:00:00,43.83111111111112
2019-03-16 07:00:00,21.1104347826087
2019-03-16 08:00:00,79.255
2019-03-16 09:00:00,108.83152173913045
2019-03-16 10:00:00,65.50956521739128
2019-03-16 11:00:00,60.4451111111111
2019-03-16 12:00:00,73.80844444444445
2019-03-16 13:00:00,42.464130434782604
2019-03-16 14:00:00,42.88888888888889
2019-03-16 15:00:00,46.237826086956524
2019-03-16 16:00:00,41.911555555555566
2019-03-16 17:00:00,50.27173913043478
2019-03-16 18:00:00,52.095111111111116
2019-03-16 19:00:00,90.41266666666662
2019-03-16 20:00:00,57.120000000000005
2019-03-16 21:00:00,60.43695652173912
2019-03-16 22:00:00,57.225111111111126
2019-03-16 23:00:00,51.18444444444445
2019-03-17 00:00:00,70.27555555555556
2019-03-17 01:00:00,74.93869565217392
2019-03-17 02:00:00,79.64244444444444
2019-03-17 03:00:00,68.012
2019-03-17 04:00:00,65.92777777777779
2019-03-17 05:00:00,57.635
2019-03-17 06:00:00,47.87022222222223
2019-03-17 07:00:00,38.370888888888885
2019-03-17 08:00:00,27.72608695652174
2019-03-17 09:00:00,38.456739130434784
2019-03-17 10:00:00,40.63666666666668
2019-03-17 11:00:00,40.9695652173913
2019-03-17 12:00:00,32.10177777777778
2019-03-17 13:00:00,30.69304347826087
2019-03-17 14:00:00,32.93347826086956
2019-03-17 15:00:00,34.55608695652174
2019-03-17 16:00:00,43.22111111111111
2019-03-17 17:00:00,63.382222222222225
2019-03-17 18:00:00,65.76565217391303
2019-03-17 19:00:00,54.394888888888886
2019-03-17 20:00:00,43.999111111111105
2019-03-17 21:00:00,44.85586956521739
2019-03-17 22:00:00,42.52666666666667
2019-03-17 23:00:00,46.26217391304349
2019-03-18 00:00:00,44.01466666666667
2019-03-18 01:00:00,39.69934782608695
2019-03-18 02:00:00,42.257999999999996
2019-03-18 03:00:00,38.38088888888888
2019-03-18 04:00:00,45.56173913043477
2019-03-18 05:00:00,39.36488888888889
2019-03-18 06:00:00,35.341521739130435
2019-03-18 07:00:00,30.718043478260864
2019-03-18 08:00:00,29.244888888888894
2019-03-18 09:00:00,20.245869565217387
2019-03-18 10:00:00,20.24847826086957
2019-03-18 11:00:00,18.146304347826085
2019-03-18 12:00:00,16.616956521739127
2019-03-18 13:00:00,16.457173913043476
2019-03-18 14:00:00,25.07511111111112
2019-03-18 15:00:00,38.460434782608694
2019-03-18 16:00:00,36.65266666666666
2019-03-18 17:00:00,38.8245652173913
2019-03-18 18:00:00,51.11600000000001
2019-03-18 19:00:00,34.91108695652174
2019-03-18 20:00:00,40.414444444444435
2019-03-18 21:00:00,48.19739130434783
2019-03-18 22:00:00,45.897111111111116
2019-03-18 23:00:00,51.62222222222222
2019-03-19 00:00:00,62.223695652173895
2019-03-19 01:00:00,50.69977777777779
2019-03-19 02:00:00,51.72155555555556
2019-03-19 03:00:00,52.52260869565216
2019-03-19 04:00:00,56.8313333333333
2019-03-19 05:00:00,64.25577777777781
2019-03-19 06:00:00,38.478695652173904
2019-03-19 07:00:00,22.705217391304345
2019-03-19 08:00:00,21.30844444444444
2019-03-19 09:00:00,22.28304347826087
2019-03-19 10:00:00,34.31391304347826
2019-03-19 11:00:00,56.98866666666665
2019-03-19 12:00:00,42.267391304347825
2019-03-19 13:00:00,33.955
2019-03-19 14:00:00,17.06673913043478
2019-03-19 15:00:00,20.976222222222233
2019-03-19 16:00:00,34.65130434782609
2019-03-19 17:00:00,40.095777777777776
2019-03-19 18:00:00,38.870652173913044
2019-03-19 19:00:00,36.85760869565217
2019-03-19 20:00:00,36.93
